city,lon,lat,temperature,humidity,cloudiness,wind speed
souillac,-0.6,45.6,68.0,77.0,0.0,4.63
colares,-9.45,38.8,64.4,88.0,40.0,4.7
port elizabeth,-74.98,39.31,80.6,83.0,75.0,10.29
acapulco,-99.88,16.86,86.0,79.0,75.0,9.17
clyde river,-68.59,70.47,35.6,83.0,90.0,43.62
san jose de rio tinto,-85.7,14.93,80.6,69.0,20.0,3.36
san quintin,120.52,17.54,82.4,83.0,75.0,6.93
lavrentiya,-170.99,65.58,45.92,92.0,64.0,4.85
amboasary,46.38,-25.04,66.2,88.0,40.0,11.41
guatire,-66.54,10.47,76.61,75.0,48.0,2.28
bluff,149.07,-23.58,64.73,71.0,0.0,4.63
mount isa,139.49,-20.73,77.0,12.0,0.0,4.7
henties bay,14.28,-22.12,60.95,79.0,0.0,0.83
nanortalik,-45.24,60.14,39.8,95.0,0.0,3.74
mehamn,27.85,71.03,52.85,90.0,32.0,5.3
thompson,-97.86,55.74,62.6,93.0,90.0,8.05
batagay,134.64,67.65,55.55,91.0,20.0,6.53
airai,125.41,-8.93,69.41,53.0,0.0,2.39
safford,-109.71,32.83,105.8,14.0,1.0,14.99
ladario,-7.74,40.7,56.63,97.0,8.0,2.51
harrismith,29.13,-28.27,28.28,60.0,0.0,3.29
khuzdar,66.62,27.8,64.73,86.0,0.0,1.95
caravelas,-39.27,-17.73,75.71,100.0,8.0,15.03
richards bay,32.06,-28.77,62.84,78.0,0.0,12.46
geraldton,-86.95,49.72,78.8,57.0,75.0,2.24
cockburn town,-71.14,21.46,82.37,98.0,8.0,19.84
pimentel,-45.5,-3.7,78.05,73.0,8.0,4.29
anadyr,177.51,64.73,55.4,87.0,75.0,11.18
isangel,169.27,-19.55,71.57,100.0,0.0,13.47
carlagan,122.05,14.97,82.64,98.0,88.0,7.2
sibu,111.83,2.29,78.8,88.0,75.0,5.82
rosh pinna,35.54,32.97,63.83,89.0,20.0,2.62
srednekolymsk,153.71,67.46,67.25,70.0,68.0,3.29
zverinogolovskoye,64.85,54.46,62.75,81.0,36.0,13.47
byron bay,153.62,-28.65,69.8,46.0,0.0,12.75
severo-kurilsk,156.12,50.68,52.94,96.0,88.0,9.44
lensk,114.91,60.71,51.05,94.0,64.0,5.53
puerto leguizamo,-74.78,-0.19,76.43,88.0,20.0,2.39
saint george,22.34,39.45,69.8,64.0,75.0,9.17
westport,-9.52,53.8,57.08,95.0,88.0,7.76
cape town,18.42,-33.93,50.0,93.0,0.0,9.17
aasiaat,-52.87,68.71,44.03,89.0,92.0,10.45
